[2025-03-18 16:09:16.716] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230317162000.xls?r=7874
[2025-03-18 16:09:16.717] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230310162000.xls?r=7768
[2025-03-18 16:09:16.717] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20231129162000.xls?r=9350
[2025-03-18 16:09:16.717] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241223162000.xls?r=1612
[2025-03-18 16:09:16.717] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20250228162000.xls?r=3194
[2025-03-18 16:09:16.717] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241016162000.xls?r=9978
[2025-03-18 16:09:16.718] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20250306162000.xls?r=6544
[2025-03-18 16:09:16.718] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230512162000.xls?r=4400
[2025-03-18 16:09:16.718] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230915162000.xls?r=6560
[2025-03-18 16:09:16.718] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230523162000.xls?r=1728
[2025-03-18 16:09:16.718] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20250317162000.xls?r=3603
[2025-03-18 16:09:16.718] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240131162000.xls?r=8262
[2025-03-18 16:09:16.718] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230913162000.xls?r=3235
[2025-03-18 16:09:16.718] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230220162000.xls?r=9112
[2025-03-18 16:09:16.719] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241022162000.xls?r=2832
[2025-03-18 16:09:16.719] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240917162000.xls?r=1599
[2025-03-18 16:09:16.719] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20240318162000.xls?r=4947
[2025-03-18 16:09:16.719] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230113162000.xls?r=7459
[2025-03-18 16:09:16.719] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230417162000.xls?r=3096
[2025-03-18 16:09:16.719] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230126162000.xls?r=4999
[2025-03-18 16:09:16.720] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20230707162000.xls?r=3540
[2025-03-18 16:09:16.720] INFO         get_data_by_link data_parser:72 - Started reading https://spimex.com/upload/reports/oil_xls/oil_xls_20241105162000.xls?r=3968
